Fecha,Publicacion,Link,Plataforma,Sentimiento,Tema,Relacionado a,Autor
03-02-2021,"Hay algo de su estrategia comunicacional en lo que la derecha se equivoca: Subestiman a nuestros pueblos.
Sus falsas noticias no hacen más que evidenciar que #EstanDesesperados, saben que recuperaremos el Ecuador en #UnaSolaVuelta 

@atilioboron @pagina12",https://twitter.com/ecuarauz/status/1357150605354151937?s=20,Twitter,Negativo,Campaña sucia,Noticias falsas,"
@ecuarauz
"
03-02-2021,"Bolivia 2019: 92.000 cuentas falsas para apoyar el Golpe de Estado a @evoespueblo 
Ecuador 2021: 258.000 cuentas falsas para apoyar a Lasso y violentarnos a nosotros, inventar y viralizar falsas noticias: #EstanDesesperados 
@Marco_Teruggi 
@JulianMaciasT",https://twitter.com/ecuarauz/status/1357126784190406662?s=20,Twitter,Negativo,Campaña sucia,Noticias falsas,"
@ecuarauz
"
03-02-2021,"¡Qué privilegio haber podido compartir y conversar con Pepe Mujica! No te pierdas este diálogo. Pepe es un ejemplo de lucha y coherencia para Nuestramérica y el mundo entero.

#AndrésConPepeMujica

Acompáñanos a las 21:00 por http://Facebook.com/ecuarauz2021",https://twitter.com/ecuarauz/status/1357119938163576832?s=20,Twitter,Neutral,Integración latinoamercana,Apoyo político internacional,"
@ecuarauz
"
03-02-2021,"¡Gracias por la unidad y el respaldo popular!
Las bases, el pueblo, las mayorías están con #ElBinomioDeLaEsperanza. Por los montuvios, cholos, pescadores, agricultores; por todos los ecuatorianos y por la interculturalidad,¡vamos a recuperar el trabajo, el futuro y la dignidad!",https://twitter.com/ecuarauz/status/1357064657882726409?s=20,Twitter,Neutral,Empleo,Apoyo popular,"
@ecuarauz
"
02-02-2021,"Ecuador, “fake news” y conseja neoliberal
Por Eduardo Barcesat",https://twitter.com/eldestapeweb/status/1356686324628037632?s=20,Twitter,Negativo,Campaña sucia,Noticias falsas,"
@ecuarauz
"
02-02-2021,(video),https://twitter.com/ecuarauz/status/1356730503634817025?s=20,Twitter,Neutral,Otros,Cierre de campaña,"
@ecuarauz
"
02-02-2021,(video),https://twitter.com/ecuarauz/status/1356718587487137794?s=20,Twitter,Neutral,Salud,Vacunas,"
@ecuarauz
"
02-02-2021,"El amor por la vida, nos impulsa a recuperar el trabajo y la dignidad del Ecuador.

Este 7 de Febrero las familias ecuatorianas eligen un proyecto colectivo para recuperar el futuro.",https://twitter.com/ecuarauz/status/1356705565599219716?s=20,Twitter,Neutral,Empleo,Apoyo familiar,"
@ecuarauz
"
02-02-2021,"101398
101381
101337
101350",https://twitter.com/ecuarauz/status/1356687436827545603?s=20,Twitter,Neutral,Corrupción,Contraloría,"
@ecuarauz
"
08-07-2020,"[Hilo] Andrés Arauz en #PalabraSueltaxKolectiVOZ: ""Del análisis que realizamos por una documentación filtrada, detectamos el incumplimiento de contrato por parte de un contratista petrolero con el Estado. A este último le corresponde cubrirse con un seguro d fiel cumplimiento...""",https://twitter.com/kolectiVOZ/status/1356468370049273857?s=20,Twitter,Negativo,Corrupción,Incumplimiento del contrato,"
@ecuarauz
"
